Title,URL,Short_Intro,Category,Sub-Category,Course Type,Language,Subtitle Languages,Skills,Instructors,Rating,Number of viewers,Duration,Site,Program Type,Courses,Level,Number of Reviews,Unique Projects,Prequisites,What you learn,Related Programs,Monthly access,6-Month access,4-Month access,3-Month access,5-Month access,2-Month access,School,Topics related to CRM,ExpertTracks,FAQs,Course Title,Course URL,Course Short_Intro,Weekly study,Premium course,What's include,Rank,Created by,Program,Number of ratings,Price,COURSE CATEGORIES,combined_features
Natural Language Processing with Attention Models,https://www.coursera.org/learn/attention-models-in-nlp,"In Course 4 of the Natural Language Processing Specialization, you will:",Data Science,Machine Learning,Course,English,"Subtitles: English, Japanese","Reformer Models,Neural Machine Translation,Chatterbot,T5+BERT Models,Attention Models,",Younes Bensouda Mourri,4.3stars,861 ,Approx. 35 hours to complete,Coursera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"natural language processing with attention models in course 4 of the natural language processing specialization, you will: reformer models,neural machine translation,chatterbot,t5+bert models,attention models,"
Introduction to Technical Support ,https://www.coursera.org/learn/introduction-to-technical-support,Gain the daily work skills and knowledge you’ll need for IT Technical Support career success.,Information Technology,Support and Operations,Course,English,Subtitles: English,"Information Technology,Customer Service,Ticketing Systems,Service Level Agreements,Technical Support,",Rav Ahuja,4.8stars,349 ,Approx. 12 hours to complete,Coursera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"introduction to technical support  gain the daily work skills and knowledge you’ll need for it technical support career success. information technology,customer service,ticketing systems,service level agreements,technical support,"
Entrepreneurship 1: Developing the Opportunity,https://www.coursera.org/learn/wharton-entrepreneurship-opportunity,"How does a good idea become a viable business opportunity? What is entrepreneurship and who fits the profile of an entrepreneur? This introductory course is designed to introduce you to the foundational concepts of entrepreneurship, including the definition of entrepreneurship, the profile of the entrepreneur, the difference between entrepreneurship and entrepreneurial management, and the role of venture creation in society. You’ll explore where technology entrepreneurship and impact entrepreneurship align and where they diverge, and you’ll learn proven techniques for identifying the opportunity, assessing the opportunity, hypothesis testing and creating a prototype.",Business,Finance,Course,English,"Subtitles: Arabic, French, Portuguese (European), Italian, Vietnamese, German, Russian, English, Spanish","Discovery-Driven Planning,Elevator Pitch,Planning,Entrepreneurship,",Lori Rosenkopf,4.8stars,"4,064 ",Approx. 10 hours to complete,Coursera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"entrepreneurship 1: developing the opportunity how does a good idea become a viable business opportunity? what is entrepreneurship and who fits the profile of an entrepreneur? this introductory course is designed to introduce you to the foundational concepts of entrepreneurship, including the definition of entrepreneurship, the profile of the entrepreneur, the difference between entrepreneurship and entrepreneurial management, and the role of venture creation in society. you’ll explore where technology entrepreneurship and impact entrepreneurship align and where they diverge, and you’ll learn proven techniques for identifying the opportunity, assessing the opportunity, hypothesis testing and creating a prototype. discovery-driven planning,elevator pitch,planning,entrepreneurship,"
Vital Signs: Understanding What the Body Is Telling Us,https://www.coursera.org/learn/vital-signs,"The vital signs – heart rate, blood pressure, body temperature, respiration rate, and pain – communicate important information about the physiological status of the human body. In this six-part course we explore the anatomy and physiology underlying the vital signs so that you will develop a systematic, integrated understanding of how the body functions. Relevant body systems are reviewed including cardiovascular and respiratory, followed by explanations of how the function of these systems affects vital signs. We discuss normal ranges, normal variants, and the mechanisms that underlie changes in the objective measurement of vital signs. The course also includes demonstrations of appropriate techniques for measuring vital signs in yourself and others.",Health,Patient Care,Course,English,"Subtitles: Arabic, French, Portuguese (European), Czech, Italian, Catalan, Vietnamese, Dutch, Korean, German, Russian, English, Spanish","Dolor Assessment,Metabolic Pathways,Vital Signs,Pain Management,","Connie B. Scanga, PhD",4.8stars,"5,805 ",Approx. 13 hours to complete,Coursera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"vital signs: understanding what the body is telling us the vital signs – heart rate, blood pressure, body temperature, respiration rate, and pain – communicate important information about the physiological status of the human body. in this six-part course we explore the anatomy and physiology underlying the vital signs so that you will develop a systematic, integrated understanding of how the body functions. relevant body systems are reviewed including cardiovascular and respiratory, followed by explanations of how the function of these systems affects vital signs. we discuss normal ranges, normal variants, and the mechanisms that underlie changes in the objective measurement of vital signs. the course also includes demonstrations of appropriate techniques for measuring vital signs in yourself and others. dolor assessment,metabolic pathways,vital signs,pain management,"
International Leadership and Organizational Behavior,https://www.coursera.org/learn/organizational-behavior,"Leaders in business and non-profit organizations increasingly work across national borders and in multi-cultural environments. You may work regularly with customers or suppliers abroad, or be part of a globally dispersed cross-functional team, or an expatriate manager on an international assignment. You may be a member of a global online community, or a development aid worker collaborating with an international network of partner organizations. In all of these contexts, your effectiveness as a leader depends on how well you understand and are able to manage individual and collective behaviors in an intercultural context. ",Business,Leadership and Management,Course,English,"Subtitles: Arabic, French, Portuguese (European), Italian, Vietnamese, German, Russian, English, Spanish","Social Network,Leadership,Management,Cross-Cultural Communication,",Franz Wohlgezogen,4.8stars,"2,889 ",Approx. 16 hours to complete,Coursera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"international leadership and organizational behavior leaders in business and non-profit organizations increasingly work across national borders and in multi-cultural environments. you may work regularly with customers or suppliers abroad, or be part of a globally dispersed cross-functional team, or an expatriate manager on an international assignment. you may be a member of a global online community, or a development aid worker collaborating with an international network of partner organizations. in all of these contexts, your effectiveness as a leader depends on how well you understand and are able to manage individual and collective behaviors in an intercultural context.  social network,leadership,management,cross-cultural communication,"
An Introduction to Consumer Neuroscience & Neuromarketing ,https://www.coursera.org/learn/neuromarketing,"How do we make decisions as consumers? What do we pay attention to, and how do our initial responses predict our final choices? To what extent are these processes unconscious and cannot be reflected in overt reports? This course will provide you with an introduction to some of the most basic methods in the emerging fields of consumer neuroscience and neuromarketing. You will learn about the methods employed and what they mean. You will learn about the basic brain mechanisms in consumer choice, and how to stay updated on these topics. The course will give an overview of the current and future uses of neuroscience in business.",Business,Leadership and Management,Course,English,"Subtitles: Arabic, French, Portuguese (European), Italian, Vietnamese, German, Russian, English, Spanish","Consumer Behaviour,Marketing,Consumer Neuroscience,Neuromarketing,",Thomas Zoëga Ramsøy,4.7stars,"2,957 ",Approx. 25 hours to complete,Coursera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"an introduction to consumer neuroscience & neuromarketing  how do we make decisions as consumers? what do we pay attention to, and how do our initial responses predict our final choices? to what extent are these processes unconscious and cannot be reflected in overt reports? this course will provide you with an introduction to some of the most basic methods in the emerging fields of consumer neuroscience and neuromarketing. you will learn about the methods employed and what they mean. you will learn about the basic brain mechanisms in consumer choice, and how to stay updated on these topics. the course will give an overview of the current and future uses of neuroscience in business. consumer behaviour,marketing,consumer neuroscience,neuromarketing,"
Create High-Fidelity Designs and Prototypes in Figma,https://www.coursera.org/learn/high-fidelity-designs-prototype,"Create High-Fidelity Designs and Prototypes in Figma is the fifth course in a certificate program that will equip you with the skills you need to apply to entry-level jobs in user experience (UX) design. In this course, you will follow step-by-step tutorials to learn how to create high-fidelity designs, called mockups, in Figma, a popular design tool. Then, you’ll turn those designs into an interactive prototype that works like a finished product. You’ll conduct research to collect feedback about your designs and make improvements. Finally, you’ll learn how to share your designs with development teams and highlight your work in your professional UX portfolio.",Computer Science,Design and Product,Course,English,Subtitles: English,"User Experience (UX),mockup,Figma,Prototype,User Experience Design (UXD),",Google Career Certificates,4.8stars,"2,704 ",Approx. 39 hours to complete,Coursera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"create high-fidelity designs and prototypes in figma create high-fidelity designs and prototypes in figma is the fifth course in a certificate program that will equip you with the skills you need to apply to entry-level jobs in user experience (ux) design. in this course, you will follow step-by-step tutorials to learn how to create high-fidelity designs, called mockups, in figma, a popular design tool. then, you’ll turn those designs into an interactive prototype that works like a finished product. you’ll conduct research to collect feedback about your designs and make improvements. finally, you’ll learn how to share your designs with development teams and highlight your work in your professional ux portfolio. user experience (ux),mockup,figma,prototype,user experience design (uxd),"
Improving Communication Skills,https://www.coursera.org/learn/wharton-communication-skills,"Learn how to communicate more effectively at work and achieve your goals. Taught by award-winning Wharton professor and best-selling author Maurice Schweitzer, Improving Communications Skills is an essential course designed to give you both the tools you need to improve your communication skills, and the most successful strategies for using them to your advantage. You'll learn how to discover if someone is lying (and how to react if they are), how to develop trust, the best method of communication for negotiation, and how to apologize. You'll also learn when to cooperate and when to compete, how to create persuasive messages, ask thoughtful questions, engage in active listening, and choose the right medium (face-to-face conversation, video conference, phone call, or email) for your messages. By the end of the course, you'll be able to understand what others want, respond strategically to their wants and needs, craft convincing and clear messages, and develop the critical communication skills you need to get ahead in business and in life.",Personal Development,Personal Development,Course,English,"Subtitles: Chinese (Traditional), Arabic, French, Portuguese (European), Chinese (Simplified), Italian, Vietnamese, German, Russian, English, Spanish","goal setting,Communication,Negotiation,Deception,",Maurice Schweitzer,4.7stars,"1,806 ",Approx. 9 hours to complete,Coursera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"improving communication skills learn how to communicate more effectively at work and achieve your goals. taught by award-winning wharton professor and best-selling author maurice schweitzer, improving communications skills is an essential course designed to give you both the tools you need to improve your communication skills, and the most successful strategies for using them to your advantage. you'll learn how to discover if someone is lying (and how to react if they are), how to develop trust, the best method of communication for negotiation, and how to apologize. you'll also learn when to cooperate and when to compete, how to create persuasive messages, ask thoughtful questions, engage in active listening, and choose the right medium (face-to-face conversation, video conference, phone call, or email) for your messages. by the end of the course, you'll be able to understand what others want, respond strategically to their wants and needs, craft convincing and clear messages, and develop the critical communication skills you need to get ahead in business and in life. goal setting,communication,negotiation,deception,"
The Manager's Toolkit: A Practical Guide to Managing People at Work,https://www.coursera.org/learn/people-management,The aim of this course is to give you a practical guide to managing people at work. It does not matter whether you are a first time manager in a shop or a middle manager in an office environment; the same skills apply to every work place. In the course you will engage with some HR theories and then see how they translate into every day working life. ,Business,Leadership and Management,Course,English,"Subtitles: Arabic, French, Portuguese (European), Italian, Vietnamese, German, Russian, English, Spanish","Decision-Making,Leadership,Management,Performance Management,",Dr Chris Dewberry,4.7stars,"3,351 ",Approx. 28 hours to complete,Coursera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"the manager's toolkit: a practical guide to managing people at work the aim of this course is to give you a practical guide to managing people at work. it does not matter whether you are a first time manager in a shop or a middle manager in an office environment; the same skills apply to every work place. in the course you will engage with some hr theories and then see how they translate into every day working life.  decision-making,leadership,management,performance management,"
Health Behavior Change: From Evidence to Action,https://www.coursera.org/learn/health-behavior-change,"Humans often fail to make rational decisions that affect their health. This course seeks to heighten understanding of the social and behavioral factors that contribute to health decisions and behaviors, with an ultimate goal of learning how to utilize these factors in improving public health efforts. Through a set of experiential learning exercises, students will learn to apply the science of health behavior change in their own lives. The course is appropriate for students interested in health care and public health, as well as individuals who are interested in learning to apply the science of behavior change to improve their personal wellbeing.",Health,Public Health,Course,English,"Subtitles: Arabic, French, Portuguese (European), Italian, Vietnamese, German, Russian, English, Spanish","health practices,behavioral psychology,Public Health,Mental Health,health psychology,",Marney White,4.8stars,287 ,Approx. 15 hours to complete,Coursera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"health behavior change: from evidence to action humans often fail to make rational decisions that affect their health. this course seeks to heighten understanding of the social and behavioral factors that contribute to health decisions and behaviors, with an ultimate goal of learning how to utilize these factors in improving public health efforts. through a set of experiential learning exercises, students will learn to apply the science of health behavior change in their own lives. the course is appropriate for students interested in health care and public health, as well as individuals who are interested in learning to apply the science of behavior change to improve their personal wellbeing. health practices,behavioral psychology,public health,mental health,health psychology,"
Programming with JavaScript,https://www.coursera.org/learn/programming-with-javascript,"JavaScript is the programming language that powers the modern web. In this course, you will learn the basic concepts of web development with JavaScript. You will work with functions, objects, arrays, variables, data types, the HTML DOM, and much more. You will learn how to use JavaScript and discover interactive possibilities with modern JavaScript technologies. Finally, you will learn about the practice of testing code and how to write a unit test using Jest.",Computer Science,Mobile and Web Development,Course,English,Subtitles: English,"Test-Driven Development,JavaScript,Front-End Web Development,Object-Oriented Programming (OOP),",Taught by Meta Staff,4.7stars,"1,860 ",Approx. 42 hours to complete,Coursera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"programming with javascript javascript is the programming language that powers the modern web. in this course, you will learn the basic concepts of web development with javascript. you will work with functions, objects, arrays, variables, data types, the html dom, and much more. you will learn how to use javascript and discover interactive possibilities with modern javascript technologies. finally, you will learn about the practice of testing code and how to write a unit test using jest. test-driven development,javascript,front-end web development,object-oriented programming (oop),"
Clinical Terminology for International and U.S. Students,https://www.coursera.org/learn/clinical-terminology,"Understanding the clinical terms and abbreviations commonly used during verbal or written communication in U.S. hospitals is challenging. This course is designed for U.S. health care profession students and for international students and practitioners who want to become more familiar with the language of the U.S. clinical setting.  Others, such as caregivers and medical interpreters, who wish to develop a better understanding of terms and abbreviations used by health care providers will find this course helpful. The course provides visual and auditory learning experiences to enhance the understanding of terms and abbreviations commonly encountered on a general U.S. hospital unit. All content including quizzes are available at no cost to the learner. If you need a certificate, you can apply for financial aid or pay the fee. To find out more, click Learn more and apply next to the information about Financial Aid. (Use a computer, not a mobile device, for this step.)",Health,Patient Care,Course,English,"Subtitles: Arabic, French, Portuguese (European), Italian, Vietnamese, German, Russian, English, Spanish","English Language,Clinical Experience,Vital Signs,Medical Device,","Valerie Swigart, Ph.D. R.N.",4.8stars,"2,881 ",Approx. 34 hours to complete,Coursera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"clinical terminology for international and u.s. students understanding the clinical terms and abbreviations commonly used during verbal or written communication in u.s. hospitals is challenging. this course is designed for u.s. health care profession students and for international students and practitioners who want to become more familiar with the language of the u.s. clinical setting.  others, such as caregivers and medical interpreters, who wish to develop a better understanding of terms and abbreviations used by health care providers will find this course helpful. the course provides visual and auditory learning experiences to enhance the understanding of terms and abbreviations commonly encountered on a general u.s. hospital unit. all content including quizzes are available at no cost to the learner. if you need a certificate, you can apply for financial aid or pay the fee. to find out more, click learn more and apply next to the information about financial aid. (use a computer, not a mobile device, for this step.) english language,clinical experience,vital signs,medical device,"
Réussir le Changement,https://www.coursera.org/learn/reussir-le-changement,"L'accélération de l'environnement socio-économique conduit les entreprises à multiplier les projets de changement (nouveaux produits, applications digitales, optimisation des coûts, nouvelles organisationnelles, etc.). Le changement n'est plus un phénomène conjoncturel mais permanent. Le changement est devenu un objet gestionnaire avec des méthodologies, des outils et des compétences. La compétence en conduite du changement se développe dans les cabinets de conseil et en interne dans les entreprises. Consultants, chefs de projet, experts du changement, acteurs de la fonction RH et tous les managers doivent se doter d'une compétence en conduite du changement pour réaliser les nombreuses transformations que les entreprises et les administrations ont à mener.",Business,Leadership and Management,Course,French,Subtitles: French,"Change Management,Communication,Management,Communications Management,",Jean-Marie PERETTI,4.5stars,"1,842 ",Approx. 13 hours to complete,Coursera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"réussir le changement l'accélération de l'environnement socio-économique conduit les entreprises à multiplier les projets de changement (nouveaux produits, applications digitales, optimisation des coûts, nouvelles organisationnelles, etc.). le changement n'est plus un phénomène conjoncturel mais permanent. le changement est devenu un objet gestionnaire avec des méthodologies, des outils et des compétences. la compétence en conduite du changement se développe dans les cabinets de conseil et en interne dans les entreprises. consultants, chefs de projet, experts du changement, acteurs de la fonction rh et tous les managers doivent se doter d'une compétence en conduite du changement pour réaliser les nombreuses transformations que les entreprises et les administrations ont à mener. change management,communication,management,communications management,"
Positive Psychology: Martin E. P. Seligman’s Visionary Science,https://www.coursera.org/learn/positive-psychology-visionary-science,"Dr. Martin E.P.  Seligman—renowned worldwide as the “father of Positive Psychology”—has led visionary leaps in the scientific research, empirical data and personal understandings of human flourishing. This course explores the past, present and future of positive psychology as a journey through the key scientific leaps led by Dr. Seligman and his colleagues at the University of Pennsylvania's Positive Psychology Center and Master of Applied Positive Psychology program. ",Health,Psychology,Course,English,"Subtitles: Arabic, French, Ukrainian, Portuguese (European), Greek, Italian, Vietnamese, German, Russian, English, Spanish","Character Strengths And Virtues,Gratitude,Positive Education,Positive Psychology,","Martin E.P. Seligman, Ph.D.",4.9stars,"5,529 ",Approx. 16 hours to complete,Coursera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"positive psychology: martin e. p. seligman’s visionary science dr. martin e.p.  seligman—renowned worldwide as the “father of positive psychology”—has led visionary leaps in the scientific research, empirical data and personal understandings of human flourishing. this course explores the past, present and future of positive psychology as a journey through the key scientific leaps led by dr. seligman and his colleagues at the university of pennsylvania's positive psychology center and master of applied positive psychology program.  character strengths and virtues,gratitude,positive education,positive psychology,"
"Aspectos básicos: Datos, datos, en todas partes",https://www.coursera.org/learn/aspectos-basicos-datos-datos-en-todas-partes,"Este es el primer curso del certificado de Google Data Analytics. En estos cursos obtendrás las habilidades que necesitas para aplicar a los trabajos de analista de datos de nivel introductorio. Organizaciones de todo tipo necesitan analistas de datos que las ayuden a mejorar sus procesos, identificar oportunidades y tendencias, lanzar nuevos productos y tomar decisiones reflexivas. En este curso, conocerás el mundo del análisis computacional de datos a través de un plan de estudios práctico desarrollado por Google. En el material compartido se incluyen muchos temas clave de análisis computacional de datos y una visión general de lo que aborda el Certificado de Google Data Analytics. Los analistas de datos actuales de Google te darán instrucciones y te proporcionarán formas prácticas de llevar a cabo las tareas comunes de los analistas de datos con las mejores herramientas y recursos.",Data Science,Data Analysis,Course,Spanish,"Subtitles: Spanish, English","Visualización de Datos (DataViz),Limpieza de datos,Hoja de cálculo,análisis de datos,SQL,",Google Career Certificates,4.8stars,"2,934 ",Approx. 19 hours to complete,Coursera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"aspectos básicos: datos, datos, en todas partes este es el primer curso del certificado de google data analytics. en estos cursos obtendrás las habilidades que necesitas para aplicar a los trabajos de analista de datos de nivel introductorio. organizaciones de todo tipo necesitan analistas de datos que las ayuden a mejorar sus procesos, identificar oportunidades y tendencias, lanzar nuevos productos y tomar decisiones reflexivas. en este curso, conocerás el mundo del análisis computacional de datos a través de un plan de estudios práctico desarrollado por google. en el material compartido se incluyen muchos temas clave de análisis computacional de datos y una visión general de lo que aborda el certificado de google data analytics. los analistas de datos actuales de google te darán instrucciones y te proporcionarán formas prácticas de llevar a cabo las tareas comunes de los analistas de datos con las mejores herramientas y recursos. visualización de datos (dataviz),limpieza de datos,hoja de cálculo,análisis de datos,sql,"
Fundamentals of Reinforcement Learning,https://www.coursera.org/learn/fundamentals-of-reinforcement-learning,"Reinforcement Learning is a subfield of Machine Learning, but is also a general purpose formalism for automated decision-making and AI. This course introduces you to statistical learning techniques where an agent explicitly takes actions and interacts with the world. Understanding the importance and challenges of learning agents that make decisions is of vital importance today, with more and more companies interested in interactive agents and intelligent decision-making. ",Data Science,Machine Learning,Course,English,"Subtitles: Arabic, French, Portuguese (European), Italian, Vietnamese, German, Russian, English, Spanish","Artificial Intelligence (AI),Machine Learning,Reinforcement Learning,Function Approximation,Intelligent Systems,",Martha White,4.8stars,"2,552 ",Approx. 15 hours to complete,Coursera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"fundamentals of reinforcement learning reinforcement learning is a subfield of machine learning, but is also a general purpose formalism for automated decision-making and ai. this course introduces you to statistical learning techniques where an agent explicitly takes actions and interacts with the world. understanding the importance and challenges of learning agents that make decisions is of vital importance today, with more and more companies interested in interactive agents and intelligent decision-making.  artificial intelligence (ai),machine learning,reinforcement learning,function approximation,intelligent systems,"
Dino 101: Dinosaur Paleobiology,https://www.coursera.org/learn/dino101,"Dino 101: Dinosaur Paleobiology is a 12-lesson course teaching a comprehensive overview of non-avian dinosaurs. Topics covered: anatomy, eating, locomotion, growth, environmental and behavioral adaptations, origins and extinction. Lessons are delivered from museums, fossil-preparation labs and dig sites. Estimated workload: 3-5 hrs/week.",Health,Basic Science,Course,English,"Subtitles: Arabic, French, Portuguese (European), Italian, Vietnamese, German, Russian, English, Spanish","Biodiversity,Biology,Evolution,Paleontology,","Philip John Currie, PhD",4.9stars,"3,269 ",Approx. 14 hours to complete,Coursera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"dino 101: dinosaur paleobiology dino 101: dinosaur paleobiology is a 12-lesson course teaching a comprehensive overview of non-avian dinosaurs. topics covered: anatomy, eating, locomotion, growth, environmental and behavioral adaptations, origins and extinction. lessons are delivered from museums, fossil-preparation labs and dig sites. estimated workload: 3-5 hrs/week. biodiversity,biology,evolution,paleontology,"
Fundamentos de la gestión de proyectos,https://www.coursera.org/learn/fundamentos-de-la-gestion-de-proyectos,"Este curso es el primero de una serie de seis que te dota de las destrezas que necesitas para aplicar a los roles de nivel introductorio en la gestión de proyectos. Los gerentes de proyectos desempeñan un papel clave en la dirección, planificación e implementación de proyectos críticos para ayudar a sus organizaciones a tener éxito. En este curso, descubrirás la terminología fundamental de la gestión de proyectos y adquirirás una comprensión más profunda del papel y las responsabilidades de un gerente de proyectos. También te presentaremos los tipos de trabajos que podrías realizar después de completar este programa. A lo largo del programa, aprenderás de los gerentes de proyectos actuales de Google, que pueden proporcionarte una experiencia educativa multidimensional que te ayudará a desarrollar tus destrezas para la aplicación práctica. ",Business,Leadership and Management,Course,Spanish,"Subtitles: Spanish, English","Gestión de proyectos,Cultura de la organización,Pensamiento estratégico,desarrollo profesional,gestión de cambios,",Google Career Certificates,4.9stars,"3,097 ",Approx. 15 hours to complete,Coursera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"fundamentos de la gestión de proyectos este curso es el primero de una serie de seis que te dota de las destrezas que necesitas para aplicar a los roles de nivel introductorio en la gestión de proyectos. los gerentes de proyectos desempeñan un papel clave en la dirección, planificación e implementación de proyectos críticos para ayudar a sus organizaciones a tener éxito. en este curso, descubrirás la terminología fundamental de la gestión de proyectos y adquirirás una comprensión más profunda del papel y las responsabilidades de un gerente de proyectos. también te presentaremos los tipos de trabajos que podrías realizar después de completar este programa. a lo largo del programa, aprenderás de los gerentes de proyectos actuales de google, que pueden proporcionarte una experiencia educativa multidimensional que te ayudará a desarrollar tus destrezas para la aplicación práctica.  gestión de proyectos,cultura de la organización,pensamiento estratégico,desarrollo profesional,gestión de cambios,"
Introducción a la programación en Python I: Aprendiendo a programar con Python,https://www.coursera.org/learn/aprendiendo-programar-python,"Decía Steve Jobs que “todo el mundo debería aprender a programar un ordenador porque esto te ayuda a pensar”. Hoy en día la programación es una herramienta fundamental para el desarrollo de la tecnología moderna. Este curso te introduce en el mundo de la programación en el lenguaje Python. De una forma práctica, aprenderás de forma gradual desde el tratamiento básico de variables hasta la programación de algoritmos para construir tus propios juegos. Además, te familiarizarás con los conceptos fundamentales para el desarrollo de algoritmos y su programación. ",Computer Science,Software Development,Course,Spanish,Subtitles: Spanish,"Computer Programming,Python Programming,List & Label,Programming Language,",Jorge Muñoz Gama,4.4stars,"3,982 ",Approx. 17 hours to complete,Coursera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"introducción a la programación en python i: aprendiendo a programar con python decía steve jobs que “todo el mundo debería aprender a programar un ordenador porque esto te ayuda a pensar”. hoy en día la programación es una herramienta fundamental para el desarrollo de la tecnología moderna. este curso te introduce en el mundo de la programación en el lenguaje python. de una forma práctica, aprenderás de forma gradual desde el tratamiento básico de variables hasta la programación de algoritmos para construir tus propios juegos. además, te familiarizarás con los conceptos fundamentales para el desarrollo de algoritmos y su programación.  computer programming,python programming,list & label,programming language,"
Fundamentals of Music Theory,https://www.coursera.org/learn/edinburgh-music-theory,"This course, revised in 2022, will introduce you to the theory of music, providing you with the skills needed to read and write Western music notation, as well as to understand, analyse, and listen informedly.",Arts and Humanities,Music and Art,Course,English,Subtitles: English,"Scales,Notation,Harmony,Rhythm,Chords,",Dr Thomas Butler,4.5stars,"1,647 ",Approx. 11 hours to complete,Coursera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"fundamentals of music theory this course, revised in 2022, will introduce you to the theory of music, providing you with the skills needed to read and write western music notation, as well as to understand, analyse, and listen informedly. scales,notation,harmony,rhythm,chords,"
Oil & Gas Industry Operations and Markets ,https://www.coursera.org/learn/oilandgas,"The oil and gas industry has an enormous impact on all aspects of daily life. Individuals, corporations, and national governments make financial and policy decisions based on the cost, use, and availability of these two natural resources. This two-week course looks at the two most fundamental aspects of the oil and gas industry, its operations and markets, each of which is addressed as a separate module in the course. In the operations module, the course provides an overview of the production of oil and gas, from initial exploration to final transport. The second module focuses on the forces that drive the industry's operations, the oil and gas markets, including the cost of wells, seasonal impacts on prices, and the role of oil reserves. After every lesson, learners will take short quizzes to test their newly acquired knowledge, participant in crowd-sourced discussions about global markets, and complete a final project.",Physical Science and Engineering,Environmental Science and Sustainability,Course,English,"Subtitles: Arabic, French, Portuguese (European), Italian, Vietnamese, German, Russian, English, Spanish, Persian","Energy,Geology,Directional Drilling,Enhanced Oil Recovery,",Lincoln Pratson,4.8stars,"5,456 ",Approx. 7 hours to complete,Coursera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"oil & gas industry operations and markets  the oil and gas industry has an enormous impact on all aspects of daily life. individuals, corporations, and national governments make financial and policy decisions based on the cost, use, and availability of these two natural resources. this two-week course looks at the two most fundamental aspects of the oil and gas industry, its operations and markets, each of which is addressed as a separate module in the course. in the operations module, the course provides an overview of the production of oil and gas, from initial exploration to final transport. the second module focuses on the forces that drive the industry's operations, the oil and gas markets, including the cost of wells, seasonal impacts on prices, and the role of oil reserves. after every lesson, learners will take short quizzes to test their newly acquired knowledge, participant in crowd-sourced discussions about global markets, and complete a final project. energy,geology,directional drilling,enhanced oil recovery,"
Data Visualization with Python,https://www.coursera.org/learn/python-for-data-visualization,One of the most important skills of successful data scientists and data analysts is the ability to tell a compelling story by visualizing data and findings in an approachable and stimulating way. In this course you will learn many ways to effectively visualize both small and large-scale data. You will be able to take data that at first glance has little meaning and present that data in a form that conveys insights. ,Data Science,Data Analysis,Course,English,"Subtitles: Arabic, French, Portuguese (European), Italian, Vietnamese, Korean, German, Russian, English, Spanish, Persian","Dashboards and Charts,dash,Python Programming,Matplotlib,Data Visualization (DataViz),",Saishruthi Swaminathan,4.5stars,"10,834 ",Approx. 17 hours to complete,Coursera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"data visualization with python one of the most important skills of successful data scientists and data analysts is the ability to tell a compelling story by visualizing data and findings in an approachable and stimulating way. in this course you will learn many ways to effectively visualize both small and large-scale data. you will be able to take data that at first glance has little meaning and present that data in a form that conveys insights.  dashboards and charts,dash,python programming,matplotlib,data visualization (dataviz),"
Sales and CRM Overview,https://www.coursera.org/learn/sales-and-crm-overview,"This course is the first of a series that aims to teach you the foundational skills in Salesforce that will prepare you for a variety of entry-level sales roles, including the sales operations specialist position. ",Business,Business Essentials,Course,English,Subtitles: English,"CRM,Sales Operations,Sales,Salesforce Sales Cloud,Salesforce,",Trailhead,4.6stars,592 ,Approx. 22 hours to complete,Coursera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"sales and crm overview this course is the first of a series that aims to teach you the foundational skills in salesforce that will prepare you for a variety of entry-level sales roles, including the sales operations specialist position.  crm,sales operations,sales,salesforce sales cloud,salesforce,"
